dataset,variable,current_predecessor,expected_predecessor,current_method,expected_method,current_origin,expected_origin,status,method_status,origin_status
ADRS,AVISIT,Analysis visit derived from source visit/date and dataset-specific visit window rules.,Analysis visit derived from source visit/date and dataset-specific visit window rules.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,ANL01FL,Analysis inclusion flag derived from dataset-specific record-selection rules.,Analysis inclusion flag derived from dataset-specific record-selection rules.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADRS,AVAL,Numeric response category from ADRS.AVALC response ordering map.,Numeric response category from ADRS.AVALC response ordering map.,MT.ADRS_AVAL,MT.ADRS_AVAL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADTTE,STUDYID,Protocol identifier from config/study_config.yaml and SDTM study domain records.,Protocol identifier from config/study_config.yaml and SDTM study domain records.,,,Protocol,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,USUBJID,SDTM.DM.USUBJID.,SDTM.DM.USUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,SUBJID,SDTM.DM.SUBJID.,SDTM.DM.SUBJID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,SITEID,SDTM.DM.SITEID.,SDTM.DM.SITEID.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,TRT01P,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,Randomized/planned treatment assignment from SDTM.DM.ARM and config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,TRT01PN,Numeric planned treatment assignment from config/study_config.yaml treatment map.,Numeric planned treatment assignment from config/study_config.yaml treatment map.,,,Assigned,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,ITTFL,Inherited from ADSL.ITTFL.,Inherited from ADSL.ITTFL.,MT.ADTTE_ITTFL,MT.ADTTE_ITTFL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADTTE,SAFFL,Inherited from ADSL.SAFFL.,Inherited from ADSL.SAFFL.,MT.ADTTE_SAFFL,MT.ADTTE_SAFFL,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADTTE,PARAMCD,Analysis parameter code from dataset-specific parameter derivation and source test/category.,Analysis parameter code from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,PARAM,Analysis parameter label from dataset-specific parameter derivation and source test/category.,Analysis parameter label from dataset-specific parameter derivation and source test/category.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,PARAMN,Numeric parameter ordering from ADTTE.PARAMCD.,Numeric parameter ordering from ADTTE.PARAMCD.,MT.ADTTE_PARAMN,MT.ADTTE_PARAMN,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADTTE,PARCAT1,Time-to-event category from ADTTE.PARAMCD.,Time-to-event category from ADTTE.PARAMCD.,MT.ADTTE_PARCAT1,MT.ADTTE_PARCAT1,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADTTE,STARTDT,"ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.","ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,ADT,Analysis date derived from the source assessment date.,Analysis date derived from the source assessment date.,,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,CNSR,Censoring indicator derived from event/censor source dates by ADTTE.PARAMCD.,Censoring indicator derived from event/censor source dates by ADTTE.PARAMCD.,MT.CNSR_TTE,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,EVNTDESC,"ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.","ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,CNSDTDSC,"ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.","ADSL subject-level attributes plus SDTM.DS, SDTM.RS/LS, SDTM.AE, and death/progression source dates by PARAMCD.",,,Collected,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,AVAL,"Time-to-event duration derived from ADTTE.STARTDT, ADTTE.ADT, and ADTTE.AVALU.","Time-to-event duration derived from ADTTE.STARTDT, ADTTE.ADT, and ADTTE.AVALU.",MT.AVAL_TTE,,Derived,,MATCH,NOT_GOVERNED,NOT_GOVERNED
ADTTE,AVALU,Time-to-event unit assigned by ADTTE parameter derivation.,Time-to-event unit assigned by ADTTE parameter derivation.,MT.ADTTE_AVALU,MT.ADTTE_AVALU,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADEX,PARAMN,Numeric parameter ordering from ADEX.PARAMCD.,Numeric parameter ordering from ADEX.PARAMCD.,MT.ADEX_PARAMN,MT.ADEX_PARAMN,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
ADEX,AVISITN,Numeric analysis visit derived from ADEX.AVISIT and SDTM.EX sequence/date.,Numeric analysis visit derived from ADEX.AVISIT and SDTM.EX sequence/date.,MT.ADEX_AVISITN,MT.ADEX_AVISITN,Derived,,MATCH,METHOD_MATCH,NOT_GOVERNED
